Word,lemme,cgram,genre,freqlemlivres
constants,constant,ADJ,m,16.82
gêné,gêné,ADJ,m,16.82
gênés,gêné,ADJ,m,16.82
suspect,suspect,ADJ,m,16.82
suspects,suspect,ADJ,m,16.82
foutu,foutu,ADJ,m,16.76
foutus,foutu,ADJ,m,16.76
impatient,impatient,ADJ,m,16.76
impatients,impatient,ADJ,m,16.76
postal,postal,ADJ,m,16.76
postaux,postal,ADJ,m,16.76
écarté,écarté,ADJ,m,16.76
écartés,écarté,ADJ,m,16.76
menaçant,menaçant,ADJ,m,16.69
menaçants,menaçant,ADJ,m,16.69
poli,poli,ADJ,m,16.69
polis,poli,ADJ,m,16.69
rassurant,rassurant,ADJ,m,16.69
rassurants,rassurant,ADJ,m,16.69
soucieux,soucieux,ADJ,m,16.62
poussiéreux,poussiéreux,ADJ,m,16.55
subit,subit,ADJ,m,16.49
subits,subit,ADJ,m,16.49
aîné,aîné,ADJ,m,16.42
aînés,aîné,ADJ,m,16.42
brisé,brisé,ADJ,m,16.42
brisés,brisé,ADJ,m,16.42
désespéré,désespéré,ADJ,m,16.35
désespérés,désespéré,ADJ,m,16.35
idéal,idéal,ADJ,m,16.35
idéals,idéal,ADJ,m,16.35
idéaux,idéal,ADJ,m,16.35
mondial,mondial,ADJ,m,16.35
mondiaux,mondial,ADJ,m,16.35
sur,sur,ADJ,m,16.22
surs,sur,ADJ,m,16.22
flou,flou,ADJ,m,16.15
flous,flou,ADJ,m,16.15
dit,dit,ADJ,m,16.08
dits,dit,ADJ,m,16.08
maître,maître,ADJ,m,16.08
maîtres,maître,ADJ,m,16.08
combattant,combattant,ADJ,m,16.01
combattants,combattant,ADJ,m,16.01
décisif,décisif,ADJ,m,16.01
décisifs,décisif,ADJ,m,16.01
douteux,douteux,ADJ,m,15.95
agressif,agressif,ADJ,m,15.88
agressifs,agressif,ADJ,m,15.88
cru,cru,ADJ,m,15.88
crus,cru,ADJ,m,15.88
européen,européen,ADJ,m,15.88
européens,européen,ADJ,m,15.88
ouvrier,ouvrier,ADJ,m,15.88
ouvriers,ouvrier,ADJ,m,15.88
gracieux,gracieux,ADJ,m,15.81
collectif,collectif,ADJ,m,15.68
