Rang,Word,lemme,cgram,genre,nombre,freqlemlivres
755,cousins,cousin,NOM,m,p,89.93
756,paquet,paquet,NOM,m,s,89.19
757,paquets,paquet,NOM,m,p,89.19
765,chapeau,chapeau,NOM,m,s,88.04
766,chapeaux,chapeau,NOM,m,p,88.04
767,truc,truc,NOM,m,s,87.77
768,trucs,truc,NOM,m,p,87.77
769,passion,passion,NOM,f,s,87.64
771,action,action,NOM,f,s,87.43
773,docteur,docteur,NOM,m,s,87.36
774,docteurs,docteur,NOM,m,p,87.36
778,trottoir,trottoir,NOM,m,s,87.36
779,trottoirs,trottoir,NOM,m,p,87.36
780,personnage,personnage,NOM,m,s,86.96
781,personnages,personnage,NOM,m,p,86.96
782,plage,plage,NOM,f,s,86.89
783,plages,plage,NOM,f,p,86.89
792,jeunesse,jeunesse,NOM,f,s,85.14
800,événement,événement,NOM,m,s,84.59
801,événements,événement,NOM,m,p,84.59
804,métier,métier,NOM,m,s,84.53
805,métiers,métier,NOM,m,p,84.53
806,rideau,rideau,NOM,m,s,84.53
807,rideaux,rideau,NOM,m,p,84.53
813,conseils,conseil,NOM,m,p,84.46
814,sein,sein,NOM,m,s,84.05
815,seins,sein,NOM,m,p,84.05
821,honte,honte,NOM,f,s,83.45
823,bain,bain,NOM,m,s,83.04
824,bains,bain,NOM,m,p,83.04
827,réalité,réalité,NOM,f,s,82.77
828,réalités,réalité,NOM,f,p,82.77
829,éclat,éclat,NOM,m,s,82.77
830,éclats,éclat,NOM,m,p,82.77
833,vacance,vacance,NOM,f,s,82.57
834,vacances,vacance,NOM,f,p,82.57
836,bateaux,bateau,NOM,m,p,82.36
841,montagne,montagne,NOM,f,s,81.82
842,montagnes,montagne,NOM,f,p,81.82
855,conscience,conscience,NOM,f,s,81.55
856,consciences,conscience,NOM,f,p,81.55
859,ministre,ministre,NOM,,s,81.15
860,ministres,ministre,NOM,m,p,81.15
862,neiges,neige,NOM,f,p,80.88
867,compagne,compagnon,NOM,f,s,80.0
869,compagnon,compagnon,NOM,m,s,80.0
871,compagnons,compagnon,NOM,m,p,80.0
877,présidente,président,NOM,f,s,79.66
879,présidents,président,NOM,m,p,79.66
885,cuir,cuir,NOM,m,s,79.19
887,moitié,moitié,NOM,f,s,79.05
890,officiers,officier,NOM,m,p,79.05
894,mariage,mariage,NOM,m,s,78.72
895,mariages,mariage,NOM,m,p,78.72
896,cinéma,cinéma,NOM,m,s,78.51
897,cinémas,cinéma,NOM,m,p,78.51
902,avion,avion,NOM,m,s,78.04
904,amitié,amitié,NOM,f,s,77.77
905,amitiés,amitié,NOM,f,p,77.77
908,hauteur,hauteur,NOM,f,s,77.7
909,hauteurs,hauteur,NOM,f,p,77.7
914,papa,papa,NOM,m,s,77.16
