"Word","lemme","cgram","freqlemlivres"
"quotidiennement","quotidiennement","ADV","4.8"
"savamment","savamment","ADV","4.8"
"sournoisement","sournoisement","ADV","4.8"
"admirablement","admirablement","ADV","4.73"
"hautement","hautement","ADV","4.73"
"honnêtement","honnêtement","ADV","4.73"
"minutieusement","minutieusement","ADV","4.73"
"rigoureusement","rigoureusement","ADV","4.73"
"bonnement","bonnement","ADV","4.66"
"inutilement","inutilement","ADV","4.66"
"irrésistiblement","irrésistiblement","ADV","4.66"
"ostensiblement","ostensiblement","ADV","4.66"
"perpétuellement","perpétuellement","ADV","4.66"
"mutuellement","mutuellement","ADV","4.59"
"fidèlement","fidèlement","ADV","4.53"
"formellement","formellement","ADV","4.53"
"fébrilement","fébrilement","ADV","4.53"
"généreusement","généreusement","ADV","4.53"
"horriblement","horriblement","ADV","4.53"
"incroyablement","incroyablement","ADV","4.53"
"miraculeusement","miraculeusement","ADV","4.53"
"à l'improviste","à l'improviste","ADV","4.53"
"considérablement","considérablement","ADV","4.39"
"modestement","modestement","ADV","4.39"
"dûment","dûment","ADV","4.32"
"là-dessous","là-dessous","ADV","4.32"
"conformément","conformément","ADV","4.26"
"doublement","doublement","ADV","4.26"
"intimement","intimement","ADV","4.26"
"méthodiquement","méthodiquement","ADV","4.26"
"respectivement","respectivement","ADV","4.26"
"califourchon","califourchon","ADV","4.19"
"différemment","différemment","ADV","4.19"
"démesurément","démesurément","ADV","4.19"
"exceptionnellement","exceptionnellement","ADV","4.19"
"irrémédiablement","irrémédiablement","ADV","4.19"
"systématiquement","systématiquement","ADV","4.19"
"amicalement","amicalement","ADV","4.12"
"lerche","lerche","ADV","4.12"
"farouchement","farouchement","ADV","4.05"
"outre-mer","outre-mer","ADV","4.05"
"prestement","prestement","ADV","4.05"
"uniformément","uniformément","ADV","4.05"
"étonnamment","étonnamment","ADV","3.99"
"inexorablement","inexorablement","ADV","3.92"
"vigoureusement","vigoureusement","ADV","3.92"
"a jeun","à jeun","ADV","3.85"
"a priori","a priori","ADV","3.85"
"aimablement","aimablement","ADV","3.85"
"alias","alias","ADV","3.85"
"automatiquement","automatiquement","ADV","3.85"
"respectueusement","respectueusement","ADV","3.85"
"à jeun","à jeun","ADV","3.85"
"à priori","a priori","ADV","3.85"
"bravement","bravement","ADV","3.78"
"paradoxalement","paradoxalement","ADV","3.78"
"présentement","présentement","ADV","3.78"
"puissamment","puissamment","ADV","3.78"
"séparément","séparément","ADV","3.78"
"absurdement","absurdement","ADV","3.72"
"pareillement","pareillement","ADV","3.72"
"passablement","passablement","ADV","3.72"
"précautionneusement","précautionneusement","ADV","3.72"
"à tue-tête","à_tue-tête","ADV","3.72"
"agréablement","agréablement","ADV","3.65"
"ci","ci","ADV","3.65"
"humblement","humblement","ADV","3.65"
"mécaniquement","mécaniquement","ADV","3.65"
"prodigieusement","prodigieusement","ADV","3.65"
"radicalement","radicalement","ADV","3.65"
"sus","sus","ADV","3.65"
"énergiquement","énergiquement","ADV","3.65"
"incessamment","incessamment","ADV","3.58"
"sensiblement","sensiblement","ADV","3.58"
"activement","activement","ADV","3.51"
"dignement","dignement","ADV","3.51"
"inévitablement","inévitablement","ADV","3.51"
"courageusement","courageusement","ADV","3.45"
"gauchement","gauchement","ADV","3.45"
"indifféremment","indifféremment","ADV","3.45"
"indépendamment","indépendamment","ADV","3.45"
"parallèlement","parallèlement","ADV","3.45"
"réciproquement","réciproquement","ADV","3.45"
"rêveusement","rêveusement","ADV","3.45"
"affectueusement","affectueusement","ADV","3.38"
"exagérément","exagérément","ADV","3.38"
"triomphalement","triomphalement","ADV","3.38"
"aveuglément","aveuglément","ADV","3.31"
"verticalement","verticalement","ADV","3.31"
"confortablement","confortablement","ADV","3.24"
"derechef","derechef","ADV","3.24"
"fissa","fissa","ADV","3.24"
"immanquablement","immanquablement","ADV","3.24"
"impunément","impunément","ADV","3.24"
"intégralement","intégralement","ADV","3.24"
"logiquement","logiquement","ADV","3.24"
"traditionnellement","traditionnellement","ADV","3.24"
"atrocement","atrocement","ADV","3.18"
"complaisamment","complaisamment","ADV","3.18"
"inexplicablement","inexplicablement","ADV","3.18"
"innocemment","innocemment","ADV","3.18"
"involontairement","involontairement","ADV","3.18"
"mortellement","mortellement","ADV","3.18"
"moult","moult","ADV","3.18"
"périodiquement","périodiquement","ADV","3.18"
"couramment","couramment","ADV","3.11"
"excessivement","excessivement","ADV","3.11"
"gratis","gratis","ADV","3.11"
"pieusement","pieusement","ADV","3.11"
"positivement","positivement","ADV","3.11"
"voluptueusement","voluptueusement","ADV","3.11"
"âprement","âprement","ADV","3.11"
"matériellement","matériellement","ADV","3.04"
"obligatoirement","obligatoirement","ADV","3.04"
"religieusement","religieusement","ADV","3.04"
"scrupuleusement","scrupuleusement","ADV","3.04"
"deçà","deçà","ADV","2.97"
"frénétiquement","frénétiquement","ADV","2.97"
"férocement","férocement","ADV","2.97"
"ici-bas","ici-bas","ADV","2.97"
"lâchement","lâchement","ADV","2.97"
"paresseusement","paresseusement","ADV","2.97"
"partiellement","partiellement","ADV","2.97"
"gratuitement","gratuitement","ADV","2.91"
"par mégarde","par mégarde","ADV","2.91"
"rebours","rebours","ADV","2.91"
"clandestinement","clandestinement","ADV","2.84"
"grandement","grandement","ADV","2.84"
"allégrement","allégrement","ADV","2.77"
"ironiquement","ironiquement","ADV","2.77"
"magnifiquement","magnifiquement","ADV","2.77"
"politiquement","politiquement","ADV","2.77"
"prochainement","prochainement","ADV","2.77"
"faux","faux","ADV","2.7"
"fiévreusement","fiévreusement","ADV","2.7"
"franco","franco","ADV","2.7"
"goulûment","goulûment","ADV","2.7"
"gracieusement","gracieusement","ADV","2.7"
"noblement","noblement","ADV","2.7"
"nonchalamment","nonchalamment","ADV","2.7"
"ordinairement","ordinairement","ADV","2.7"
"pareil","pareil","ADV","2.7"
"promptement","promptement","ADV","2.7"
"théoriquement","théoriquement","ADV","2.7"
"chaudement","chaudement","ADV","2.64"
"de guingois","de guingois","ADV","2.64"
"idem","idem","ADV","2.64"
"impeccablement","impeccablement","ADV","2.64"
"in extremis","in extremis","ADV","2.64"
"inversement","inversement","ADV","2.64"
"subrepticement","subrepticement","ADV","2.64"
"superbement","superbement","ADV","2.64"
"vaillamment","vaillamment","ADV","2.64"
"copieusement","copieusement","ADV","2.57"
"décemment","décemment","ADV","2.57"
"fugitivement","fugitivement","ADV","2.57"
"indirectement","indirectement","ADV","2.57"
"méticuleusement","méticuleusement","ADV","2.57"
"ridiculement","ridiculement","ADV","2.57"
"amoureusement","amoureusement","ADV","2.5"
"communément","communément","ADV","2.5"
"impatiemment","impatiemment","ADV","2.5"
"jalousement","jalousement","ADV","2.5"
"honteusement","honteusement","ADV","2.43"
"médiocrement","médiocrement","ADV","2.43"
"anxieusement","anxieusement","ADV","2.36"
"consciemment","consciemment","ADV","2.36"
"incognito","incognito","ADV","2.36"
"modérément","modérément","ADV","2.36"
"raisonnablement","raisonnablement","ADV","2.36"
"brillamment","brillamment","ADV","2.3"
"immensément","immensément","ADV","2.3"
"mollo","mollo","ADV","2.3"
"sottement","sottement","ADV","2.3"
"subtilement","subtilement","ADV","2.3"
"efficacement","efficacement","ADV","2.23"
"injustement","injustement","ADV","2.23"
"obliquement","obliquement","ADV","2.23"
"insidieusement","insidieusement","ADV","2.16"
"misérablement","misérablement","ADV","2.16"
"primo","primo","ADV","2.16"
"précédemment","précédemment","ADV","2.16"
"sacrément","sacrément","ADV","2.16"
"sommairement","sommairement","ADV","2.16"
"à l'aveuglette","à l'aveuglette","ADV","2.16"
"familièrement","familièrement","ADV","2.09"
"foncièrement","foncièrement","ADV","2.09"
"incontestablement","incontestablement","ADV","2.09"
"souverainement","souverainement","ADV","2.09"
"abruptement","abruptement","ADV","2.03"
"allègrement","allègrement","ADV","2.03"
"doux","doux","ADV","2.03"
"insolemment","insolemment","ADV","2.03"
"légalement","légalement","ADV","2.03"
"nib","nib","ADV","2.03"
"plaisamment","plaisamment","ADV","2.03"
"préalablement","préalablement","ADV","2.03"
"prématurément","prématurément","ADV","2.03"
"pudiquement","pudiquement","ADV","2.03"
"sombrement","sombrement","ADV","2.03"
"ultérieurement","ultérieurement","ADV","2.03"
"adroitement","adroitement","ADV","1.96"
"approximativement","approximativement","ADV","1.96"
"assidûment","assidûment","ADV","1.96"
"courtoisement","courtoisement","ADV","1.96"
"frileusement","frileusement","ADV","1.96"
"horizontalement","horizontalement","ADV","1.96"
"indiscutablement","indiscutablement","ADV","1.96"
"tragiquement","tragiquement","ADV","1.96"
"typiquement","typiquement","ADV","1.96"
"chaleureusement","chaleureusement","ADV","1.89"
"crûment","crûment","ADV","1.89"
"grosso modo","grosso modo","ADV","1.89"
"pauvrement","pauvrement","ADV","1.89"
"rapidos","rapidos","ADV","1.89"
"remarquablement","remarquablement","ADV","1.89"
"élégamment","élégamment","ADV","1.89"
"amplement","amplement","ADV","1.82"
"cordialement","cordialement","ADV","1.82"
"glorieusement","glorieusement","ADV","1.82"
"impitoyablement","impitoyablement","ADV","1.82"
"infailliblement","infailliblement","ADV","1.82"
"itou","itou","ADV","1.82"
"lamentablement","lamentablement","ADV","1.82"
"mélancoliquement","mélancoliquement","ADV","1.82"
"objectivement","objectivement","ADV","1.82"
"royalement","royalement","ADV","1.82"
"victorieusement","victorieusement","ADV","1.82"
"cérémonieusement","cérémonieusement","ADV","1.76"
"irrégulièrement","irrégulièrement","ADV","1.76"
"premièrement","premièrement","ADV","1.76"
"précieusement","précieusement","ADV","1.76"
"prétendument","prétendument","ADV","1.76"
"richement","richement","ADV","1.76"
"rituellement","rituellement","ADV","1.76"
"catégoriquement","catégoriquement","ADV","1.69"
"hypocritement","hypocritement","ADV","1.69"
"impérieusement","impérieusement","ADV","1.69"
"monstrueusement","monstrueusement","ADV","1.69"
"auprès","auprès","ADV","1.62"
"fin","fin","ADV","1.62"
"fraternellement","fraternellement","ADV","1.62"
"hardiment","hardiment","ADV","1.62"
"laborieusement","laborieusement","ADV","1.62"
"nouvellement","nouvellement","ADV","1.62"
"tacitement","tacitement","ADV","1.62"
"bougrement","bougrement","ADV","1.55"
"dare dare","dare-dare","ADV","1.55"
"dare-dare","dare-dare","ADV","1.55"
"explicitement","explicitement","ADV","1.55"
"expressément","expressément","ADV","1.55"
"favorablement","favorablement","ADV","1.55"
"grièvement","grièvement","ADV","1.55"
"hermétiquement","hermétiquement","ADV","1.55"
"honorablement","honorablement","ADV","1.55"
"indistinctement","indistinctement","ADV","1.55"
"mais","mais","ADV","1.55"
"souplement","souplement","ADV","1.55"
"bigrement","bigrement","ADV","1.49"
"initialement","initialement","ADV","1.49"
"intelligemment","intelligemment","ADV","1.49"
"perpète","perpète","ADV","1.49"
"pertinemment","pertinemment","ADV","1.49"
"sciemment","sciemment","ADV","1.49"
"utilement","utilement","ADV","1.49"
"éminemment","éminemment","ADV","1.49"
"aigrement","aigrement","ADV","1.42"
"arrière","arrière","ADV","1.42"
"artificiellement","artificiellement","ADV","1.42"
"avantageusement","avantageusement","ADV","1.42"
"béatement","béatement","ADV","1.42"
"chichement","chichement","ADV","1.42"
"en catimini","en catimini","ADV","1.42"
"formidablement","formidablement","ADV","1.42"
"hargneusement","hargneusement","ADV","1.42"
"inopinément","inopinément","ADV","1.42"
"loyalement","loyalement","ADV","1.42"
"piteusement","piteusement","ADV","1.42"
"comiquement","comiquement","ADV","1.35"
"commodément","commodément","ADV","1.35"
"conjointement","conjointement","ADV","1.35"
"convulsivement","convulsivement","ADV","1.35"
"dernièrement","dernièrement","ADV","1.35"
"effroyablement","effroyablement","ADV","1.35"
