Word,lemme,cgram,freq
inévitable,inévitable,ADJ,6.96
précieuse,précieux,ADJ,6.96
furieuse,furieux,ADJ,6.95
ignoble,ignoble,ADJ,6.95
fédéral,fédéral,ADJ,6.94
mentale,mental,ADJ,6.92
diabolique,diabolique,ADJ,6.89
présente,présent,ADJ,6.84
spirituel,spirituel,ADJ,6.83
courant,courant,ADJ,6.81
doué,doué,ADJ,6.81
navré,navré,ADJ,6.81
rond,rond,ADJ,6.81
lesbienne,lesbien,ADJ,6.8
psychologique,psychologique,ADJ,6.79
extra,extra,ADJ,6.78
douces,doux,ADJ,6.77
grossier,grossier,ADJ,6.77
intérieure,intérieur,ADJ,6.75
hautes,haut,ADJ,6.72
étrangers,étranger,ADJ,6.71
complexe,complexe,ADJ,6.7
quatorze,quatorze,ADJ,6.7
intimes,intime,ADJ,6.69
