,lemma,"('singular', 'masculine')","('plural', 'masculine')","('singular', 'feminine')","('plural', 'feminine')","('singular', 'invariable')","('plural', 'invariable')","('invariable', 'masculine')","('invariable', 'invariable')","('invariable', 'feminine')"
34544,urétro-vaginal,urétro-vaginal,,,,,,,,
34545,urétro-vésical,urétro-vésical,,,,,,,,
34546,urétropérinéal,urétro-périnéal,urétro-périnéaux,,,,,,,
34547,urétrorectal,,,,urétro-rectales,,,,,
34548,urétroscopique,,,,,urétroscopique,urétroscopiques,,,
34549,urétéral,urétéral,urétéraux,urétérale,urétérales,,,,,
34550,urétéro-utérin,urétéro-utérin,,,,,,,,
34551,urétéro-vaginal,urétéro-vaginal,,,,,,,,
34552,urétéro-vésical,urétéro-vésical,urétéro-vésicaux,,,,,,,
34553,urétérovésical,urétérovésical,,urétéro-vésicale,,,,,,
34554,usable,,,,,usable,usables,,,
34555,usager,usager,usagers,usagère,usagères,,,,,
34556,usagé,usagé,usagés,usagée,usagées,,,,,
34557,usant,usant,usants,usante,usantes,,,,,
34558,USB,,,,,,,,USB,
34559,useur,useur,useurs,useuse,useuses,,,,,
34560,usinable,,,,,usinable,usinables,,,
34561,usinier,usinier,usiniers,usinière,usinières,,,,,
34562,usiné,usiné,usinés,usinée,usinées,,,,,
34563,usité,usité,usités,usitée,usitées,,,,,
34564,usuel,usuel,usuels,usuelle,usuelles,,,,,
34565,usufructuaire,,,,,usufructuaire,usufructuaires,,,
34566,usufruitier,usufruitier,usufruitiers,usufruitière,usufruitières,,,,,
34567,usuraire,,,,,usuraire,usuraires,,,
34568,usurpateur,usurpateur,usurpateurs,usurpatrice,usurpatrices,,,,,
34569,usurpatoire,,,,,usurpatoire,usurpatoires,,,
34570,usurpé,usurpé,usurpés,usurpée,usurpées,,,,,
34571,usé,usé,usés,usée,usées,,,,,
34572,ute,ute,,,,,,,,
34573,utile,,,,,utile,utiles,,,
34574,utilisable,,,,,utilisable,utilisables,,,
34575,utilisateur,utilisateur,utilisateurs,utilisatrice,utilisatrices,,,,,
34576,utilisé,utilisé,utilisés,utilisée,utilisées,,,,,
34577,utilitaire,,,,,utilitaire,utilitaires,,,
34578,utilitariste,,,,,utilitariste,utilitaristes,,,
34579,uto-aztèque,,,,,uto-aztèque,,,,
34580,utopique,,,,,utopique,utopiques,,,
34581,utopiste,,,,,utopiste,utopistes,,,
34582,utriculaire,,,,,utriculaire,utriculaires,,,
34583,utriculeux,,,utriculeuse,utriculeuses,,,utriculeux,,
34584,utriculé,utriculé,utriculés,utriculée,utriculées,,,,,
34585,utérin,utérin,utérins,utérine,utérines,,,,,
34586,utéro-ovarien,,,,utéro-ovariennes,,,,,
34587,utéroplacentaire,,,,,,utéro-placentaires,,,
34588,utérosacré,utérosacré,utérosacrés,utérosacrée,utérosacrées,,,,,
34589,utérovaginal,utérovaginal,,utéro-vaginale,,,,,,
34590,uval,uval,uvaux,uvale,uvales,,,,,
34591,uvifère,,,,,uvifère,uvifères,,,
34592,uvulaire,,,,,uvulaire,uvulaires,,,
34593,uvéal,uvéal,uvéaux,uvéale,uvéales,,,,,
34594,uxorilocal,uxorilocal,uxorilocaux,uxorilocale,uxorilocales,,,,,
34595,uzbek,,,,,uzbek,uzbeks,,,
34596,uê,uê,,,,,,,,
34597,va-t-en-guerre,,,,,,,,va-t-en-guerre,
34598,vacancier,vacancier,vacanciers,vacancière,vacancières,,,,,
34599,vacant,vacant,vacants,vacante,vacantes,,,,,
34600,vacataire,,,,,vacataire,vacataires,,,
34601,vaccinable,,,,,vaccinable,vaccinables,,,
34602,vaccinal,vaccinal,vaccinaux,vaccinale,vaccinales,,,,,
34603,vaccinant,vaccinant,vaccinants,vaccinante,vaccinantes,,,,,
34604,vaccinateur,vaccinateur,vaccinateurs,vaccinatrice,vaccinatrices,,,,,
34605,vacciniforme,,,,,vacciniforme,vacciniformes,,,
34606,vaccinifère,,,,,vaccinifère,vaccinifères,,,
34607,vaccinogène,,,,,vaccinogène,vaccinogènes,,,
34608,vaccinothérapique,vaccinothérapique,,,,,,,,
34609,vaccinoïde,,,,,vaccinoïde,vaccinoïdes,,,
34610,vacciné,vacciné,vaccinés,vaccinée,vaccinées,,,,,
34611,vachard,vachard,vachards,vacharde,vachardes,,,,,
34612,vache,,,,,vache,vaches,,,
34613,vacher,vacher,vachers,vachère,vachères,,,,,
34614,vacillant,vacillant,vacillants,vacillante,vacillantes,,,,,
34615,vacillant -ante,vacillant -ante,,,,,,,,
34616,vacillatoire,vacillatoire,,,,,,,,
34617,vacive,,,vacive,vacives,,,,,
34618,vacuiste,,,,,vacuiste,vacuistes,,,
34619,vacuolaire,,,,,vacuolaire,vacuolaires,,,
34620,vadrouillant,vadrouillant,vadrouillants,vadrouillante,vadrouillantes,,,,,
34621,vadrouillard,vadrouillard,vadrouillards,vadrouillarde,vadrouillardes,,,,,
34622,vadrouilleur,vadrouilleur,vadrouilleurs,vadrouilleuse,vadrouilleuses,,,,,
34623,vagabond,vagabond,vagabonds,vagabonde,vagabondes,,,,,
34624,vagabondant,vagabondant,vagabondants,vagabondante,vagabondantes,,,,,
34625,vagal,vagal,vagaux,vagale,vagales,,,,,
34626,vagant,vagant,,,,,,,,
34627,vagile,,,,,vagile,vagiles,,,
34628,vaginal,vaginal,vaginaux,vaginale,vaginales,,,,,
34629,vaginotrope,,,,,vaginotrope,vaginotropes,,,
34630,vaginé,vaginé,vaginés,vaginée,vaginées,,,,,
34631,vagissant,vagissant,vagissants,vagissante,vagissantes,,,,,
34632,vagolytique,,,,,vagolytique,vagolytiques,,,
34633,vagomimétique,,,,,vagomimétique,vagomimétiques,,,
34634,vagoparalytique,,,,,vagoparalytique,vagoparalytiques,,,
34635,vagosympathique,,,,,vagosympathique,vagosympathiques,,,
34636,vagotonique,,,,,vagotonique,vagotoniques,,,
34637,vague,,,,,vague,vagues,,,
34638,vagueux,vagueux,,,,,,,,
34639,vagulaire,vagulaire,,,,,,,,
34640,vagulant,vagulant,,,,,,,,
34641,vaillant,vaillant,vaillants,vaillante,vaillantes,,,,,
34642,vain,vain,vains,vaine,vaines,,,,,
34643,vaincu,vaincu,vaincus,vaincue,vaincues,,,,,
34644,vainqueur,,,,,vainqueur,vainqueurs,,,
34645,vairon,vairon,vairons,vairone,vairones,,,,,
34646,vairé,vairé,vairés,vairée,vairées,,,,,
34647,valable,,,,,valable,valables,,,
34648,valaisan,valaisan,valaisans,valaisanne,valaisannes,,,,,
34649,valaque,,,,,valaque,valaques,,,
34650,valdôtain,valdôtain,valdôtains,valdôtaine,valdôtaines,,,,,
34651,valencien,valencien,valenciens,valencienne,valenciennes,,,,,
34652,valenciennois,valenciennois,,valenciennoise,,,valenciennoises,,,
34653,valentiel,valentiel,,,,,,,,
34654,valentinois,valentinois,,valentinoise,,,valentinoises,,,
34655,valeureux,,,valeureuse,valeureuses,,,valeureux,,
34656,valgisant,valgisant,valgisants,valgisante,valgisantes,,,,,
34657,valgus,,,,,,,,valgus,valga
34658,validable,,,,,validable,validables,,,
34659,validant,validant,validants,validante,validantes,,,,,
34660,validateur,validateur,validateurs,validatrice,validatrices,,,,,
34661,valide,,,,,valide,valides,,,
34662,validé,validé,validés,validée,validées,,,,,
34663,vallaire,,,,,vallaire,vallaires,,,
34664,vallonneux,vallonneux,,vallonneuse,,,vallonneuses,,,
34665,vallonné,vallonné,vallonnés,vallonnée,vallonnées,,,,,
34666,valorisable,,,,,valorisable,valorisables,,,
34667,valorisant,valorisant,valorisants,valorisante,valorisantes,,,,,
34668,valseur,valseur,valseurs,valseuse,valseuses,,,,,
34669,valué,valué,valués,valuée,valuées,,,,,
34670,valvaire,,,,,valvaire,valvaires,,,
34671,valvulaire,,,,,valvulaire,valvulaires,,,
34672,valvulé,valvulé,valvulés,valvulée,valvulées,,,,,
34673,valvé,valvé,valvés,valvée,valvées,,,,,
34674,valérianique,,,,,valérianique,valérianiques,,,
34675,valérique,,,,,valérique,valériques,,,
34676,valétudinaire,,,,,valétudinaire,valétudinaires,,,
34677,vampire,,,,,vampire,vampires,,,
34678,vampirique,,,,,vampirique,vampiriques,,,
34679,vampirisé,vampirisé,vampirisés,vampirisée,vampirisées,,,,,
34680,vanadeux,vanadeux,,vanadeuse,,,vanadeuses,,,
34681,vanadifère,,,,,vanadifère,vanadifères,,,
34682,vanadique,,,,,vanadique,vanadiques,,,
34683,vanadié,vanadié,vanadiés,vanadiée,vanadiées,,,,,
34684,vandale,,,,,vandale,vandales,,,
34685,vandalique,vandalique,,,,,,,,
34686,vandalisé,vandalisé,vandalisés,vandalisée,vandalisées,,,,,
34687,vanilliné,vanilliné,vanillinés,vanillinée,vanillinées,,,,,
34688,vanillique,,,,,vanillique,vanilliques,,,
34689,vanillylmandélique,,,,,vanillylmandélique,vanillylmandéliques,,,
34690,vanillé,vanillé,vanillés,vanillée,vanillées,,,,,
34691,vanisé,vanisé,vanisés,vanisée,vanisées,,,,,
34692,vaniteux,,,vaniteuse,vaniteuses,,,vaniteux,,
34693,vanneur,vanneur,vanneurs,vanneuse,vanneuses,,,,,
34694,vanné,vanné,vannés,vannée,vannées,,,,,
34695,vantard,vantard,vantards,vantarde,vantardes,,,,,
34696,vanté,vanté,,,,,,,,
34697,vanylmandélique,,,,,vanylmandélique,vanylmandéliques,,,
34698,vaporeux,,,vaporeuse,vaporeuses,,,vaporeux,,
34699,vaporisé,vaporisé,vaporisés,vaporisée,vaporisées,,,,,
34700,vara,,,,,,,,vara,
34701,variable,,,,,variable,variables,,,
34702,variant,variant,variants,variante,variantes,,,,,
34703,variantiel,variantiel,variantiels,variantielle,variantielles,,,,,
34704,variationnel,variationnel,variationnels,variationnelle,variationnelles,,,,,
34705,varicelleux,varicelleux,,varicelleuse,,,varicelleuses,,,
34706,varicelliforme,,,,,varicelliforme,varicelliformes,,,
34707,varicolore,varicolore,,,,,,,,
34708,varioleux,,,varioleuse,varioleuses,,,varioleux,,
34709,varioliforme,,,,,varioliforme,varioliformes,,,
34710,variolique,,,,,variolique,varioliques,,,
34711,variolitique,,,,,variolitique,variolitiques,,,
34712,variolé,variolé,variolés,variolée,variolées,,,,,
34713,variqueux,,,variqueuse,variqueuses,,,variqueux,,
34714,varisant,varisant,varisants,varisante,varisantes,,,,,
34715,varié,varié,variés,variée,variées,,,,,
34716,variétal,variétal,variétaux,variétale,variétales,,,,,
34717,varois,varois,,varoise,,,varoises,,,
34718,varonné,varonné,,,,,,,,
34719,varronné,varronné,varronnés,varronnée,varronnées,,,,,
34720,varsovien,varsovien,varsoviens,varsovienne,varsoviennes,,,,,
34721,varus,,,,,,,varus,,vara
34722,varvé,varvé,varvés,varvée,varvées,,,,,
34723,vas-culo-conjonctif,vas-culo-conjonctif,,,,,,,,
34724,vasard,vasard,vasards,vasarde,vasardes,,,,,
34725,vasculaire,,,,,vasculaire,vasculaires,,,
34726,vascularisé,vascularisé,vascularisés,vascularisée,vascularisées,,,,,
34727,vasculiforme,vasculiforme,,,,,,,,
34728,vasculifère,vasculifère,,,,,,,,
34729,vasculo-nerveux,,,,,,,vasculo-nerveux,,
34730,vasculo-sanguin,vasculo-sanguin,,,,,,,,
34731,vaselineux,vaselineux,,,,,,,,
34732,vaseux,,,vaseuse,vaseuses,,,vaseux,,
34733,vasicole,vasicole,,,,,,,,
34734,vaso-constricteur,vaso-constricteur,,,,,,,,
34735,vaso-dilatateur,vaso-dilatateur,,,,,,,,
34736,vaso-excitateur,vaso-excitateur,,,,,,,,
34737,vaso-inhibiteur,,vaso-inhibiteurs,,,,,,,
34738,vaso-moteur,vaso-moteur,,,vaso-motrices,,,,,
34739,vaso-vagal,vaso-vagal,,,,,,,,
34740,vasoconstricteur,vasoconstricteur,vasoconstricteurs,vasoconstrictrice,vasoconstrictrices,,,,,
34741,vasoconstrictif,vasoconstrictif,vasoconstrictifs,vasoconstrictive,vasoconstrictives,,,,,
34742,vasodilatateur,vaso-dilatateur,vasodilatateurs,vasodilatatrice,vasodilatatrices,,,,,
34743,vasogénique,,,,,vasogénique,vasogéniques,,,
34744,vasohypertonique,vasohypertonique,,,,,,,,
34745,vasohypotonique,vasohypotonique,,,,,,,,
34746,vasoinhibiteur,vasoinhibiteur,vasoinhibiteurs,vasoinhibitrice,vasoinhibitrices,,,,,
34747,vasolabile,,,,,vasolabile,vasolabiles,,,
34748,vasomoteur,vasomoteur,vaso-moteurs,vasomotrice,vasomotrices,,,,,
34749,vasoparalytique,,,,,vasoparalytique,vasoparalytiques,,,
34750,vasoplégique,,,,,vasoplégique,vasoplégiques,,,
34751,vasopresseur,vasopresseur,vasopresseurs,,,,,,,
34752,vasorégulateur,vasorégulateur,,,,,,,,
34753,vasostimulant,vasostimulant,vasostimulants,vasostimulante,vasostimulantes,,,,,
34754,vasotonique,,,,,vasotonique,vasotoniques,,,
34755,vasotrope,,,,,vasotrope,vasotropes,,,
34756,vasouillard,vasouillard,vasouillards,vasouillarde,vasouillardes,,,,,
34757,vasouilleux,vasouilleux,,,,,,,,
34758,vasovagal,vasovagal,vasovagaux,vasovagale,vasovagales,,,,,
34759,vassal,vassal,vassaux,vassale,vassales,,,,,
34760,vassalique,,,,,vassalique,vassaliques,,,
34761,vaste,,,,,vaste,vastes,,,
34762,vaticane,,,vaticane,vaticanes,,,,,
34763,vaticanesque,,,,,vaticanesque,vaticanesques,,,
34764,vaticinant,vaticinant,,,,,,,,
34765,vaticinateur,vaticinateur,vaticinateurs,vaticinatrice,vaticinatrices,,,,,
34766,vatérien,vatérien,vatériens,vatérienne,vatériennes,,,,,
34767,vauclusien,vauclusien,vauclusiens,vauclusienne,vauclusiennes,,,,,
34768,vaudevillesque,,,,,vaudevillesque,vaudevillesques,,,
34769,vaudevillique,,,,,vaudevillique,vaudevilliques,,,
34770,vaudevillique chez stendhal,vaudevillique chez stendhal,,,,,,,,
34771,vaudois,,,vaudoise,vaudoises,,,vaudois,,
34772,vaudou,vaudou,vaudous,vaudoue,vaudoues,,,,,
34773,vaudouiste,,,,,vaudouiste,vaudouistes,,,
34774,vaurien,vaurien,vauriens,vaurienne,vauriennes,,,,,
34775,vautré,vautré,vautrés,vautrée,vautrées,,,,,
34776,vauvert,vauvert,,,,,,,,
34777,Ve,,,,,Ve,,,,
34778,vecteur,vecteur,vecteurs,vectrice,vectrices,,,,,
34779,vectoriel,vectoriel,vectoriels,vectorielle,vectorielles,,,,,
34780,vegétal,vegétal,vegétaux,vegétale,vegétales,,,,,
34781,vehmique,,,,,vehmique,vehmiques,,,
34782,veinard,veinard,veinards,veinarde,veinardes,,,,,
34783,veineux,,,veineuse,veineuses,,,veineux,,
34784,veinotonique,,,,,veinotonique,veinotoniques,,,
34785,veinulé,veinulé,veinulés,veinulée,veinulées,,,,,
34786,veiné,veiné,veinés,veinée,veinées,,,,,
34787,velche,,,,,velche,velches,,,
34788,velléitaire,,,,,velléitaire,velléitaires,,,
34789,velouteux,,,velouteuse,velouteuses,,,velouteux,,
34790,veloutier,veloutier,veloutiers,veloutière,veloutières,,,,,
34791,veloutiné,veloutiné,,,,,,,,
34792,velouté,velouté,veloutés,veloutée,veloutées,,,,,
34793,velu,velu,velus,velue,velues,,,,,
34794,velvétique,,,,,velvétique,velvétiques,,,
34795,venaissin,venaissin,venaissins,venaissine,venaissines,,,,,
34796,venant,venant,venants,venante,venantes,,,,,
34797,vendable,,,,,vendable,vendables,,,
34798,vendangeable,,,,,vendangeable,vendangeables,,,
34799,vendeur,vendeur,vendeurs,vendeuse,vendeuses,,,,,
34800,vendu,vendu,vendus,vendue,vendues,,,,,
34801,vendéen,vendéen,vendéens,vendéenne,vendéennes,,,,,
34802,vengeur,vengeur,vengeurs,vengeresse,vengeresses,,,,,
34803,vengé,vengé,vengés,vengée,vengées,,,,,
34804,venimeux,,,venimeuse,venimeuses,,,venimeux,,
34805,venteux,,,venteuse,venteuses,,,venteux,,
34806,ventilable,,,,,ventilable,ventilables,,,
34807,ventilatoire,,,,,ventilatoire,ventilatoires,,,
34808,ventilé,ventilé,ventilés,ventilée,ventilées,,,,,
34809,ventolier,ventolier,,,,,,,,
34810,ventral,ventral,ventraux,ventrale,ventrales,,,,,
34811,ventre-de-biche,ventre-de-biche,,,,,,,,
34812,ventricole,ventricole,,,,,,,,
34813,ventriculaire,,,,,ventriculaire,ventriculaires,,,
34814,ventriculo-méningé,ventriculo-méningé,,,,,,,,
34815,ventriculographique,ventriculographique,,,,,,,,
34816,ventriculonecteur,ventriculonecteur,ventriculonecteurs,ventriculonectrice,ventriculonectrices,,,,,
34817,ventriloque,,,,,ventriloque,ventriloques,,,
34818,ventripotent,ventripotent,ventripotents,ventripotente,ventripotentes,,,,,
34819,ventrolatéral,ventrolatéral,ventrolatéraux,ventrolatérale,ventrolatérales,,,,,
34820,ventromédian,ventromédian,ventromédians,ventromédiane,ventromédianes,,,,,
34821,ventrouillard,ventrouillard,,,,,,,,
34822,ventru,ventru,ventrus,ventrue,ventrues,,,,,
34823,venté,venté,ventés,ventée,ventées,,,,,
34824,venu,venu,venus,venue,venues,,,,,
34825,verbal,verbal,verbaux,verbale,verbales,,,,,
34826,verbalisateur,verbalisateur,verbalisateurs,verbalisatrice,verbalisatrices,,,,,
34827,verbalisé,verbalisé,verbalisés,verbalisée,verbalisées,,,,,
34828,verbeux,,,verbeuse,verbeuses,,,verbeux,,
34829,verbo-moteur,verbo-moteur,,,,,,,,
34830,verdelet,verdelet,verdelets,verdelette,verdelettes,,,,,
34831,verdi,verdi,,,,,,,,
34832,verdien,verdien,verdiens,verdienne,verdiennes,,,,,
34833,verdissant,verdissant,verdissants,verdissante,verdissantes,,,,,
34834,verdoré,verdoré,,,,,,,,
34835,verdoyant,verdoyant,verdoyants,verdoyante,verdoyantes,,,,,
34836,verduret,verduret,,,,,,,,
34837,verdâtre,,,,,verdâtre,verdâtres,,,
34838,vergeté,vergeté,vergetés,vergetée,vergetées,,,,,
34839,vergeur,vergeur,vergeurs,,,,,,,
34840,verglacé,verglacé,verglacés,verglacée,verglacées,,,,,
34841,verglaçant,verglaçant,verglaçants,verglaçante,verglaçantes,,,,,
34842,vergogneux,,,vergogneuse,vergogneuses,,,vergogneux,,
34843,vergué,vergué,,,,,,,,
34844,vergé,vergé,vergés,vergée,vergées,,,,,
34845,verjuteux,verjuteux,,,,,,,,
34846,verjuté,verjuté,verjutés,verjutée,verjutées,,,,,
34847,verlainien,verlainien,verlainiens,verlainienne,verlainiennes,,,,,
34848,vermeil,vermeil,vermeils,vermeille,vermeilles,,,,,
34849,vermeillet,vermeillet,,,,,,,,
34850,vermeillé,vermeillé,,,,,,,,
34851,vermicelier,,,,,vermicelier,vermiceliers,,,
34852,vermicellien,vermicellien,,,,,,,,
34853,vermicellé,vermicellé,vermicellés,vermicellée,vermicellées,,,,,
34854,vermicide,,,,,vermicide,vermicides,,,
34855,vermiculaire,,,,,vermiculaire,vermiculaires,,,
34856,vermiculeux,vermiculeux,,,,,,,,
34857,vermiculé,vermiculé,vermiculés,vermiculée,vermiculées,,,,,
34858,vermien,vermien,vermiens,vermienne,vermiennes,,,,,
34859,vermiforme,,,,,vermiforme,vermiformes,,,
34860,vermifuge,,,,,vermifuge,vermifuges,,,
34861,vermillon,,,,,,,,vermillon,
34862,vermillonné,vermillonné,vermillonnés,vermillonnée,vermillonnées,,,,,
34863,vermineux,,,vermineuse,vermineuses,,,vermineux,,
34864,vermivore,,,,,vermivore,vermivores,,,
34865,vermoulant,vermoulant,vermoulants,vermoulante,vermoulantes,,,,,
34866,vermoulu,vermoulu,vermoulus,vermoulue,vermoulues,,,,,
34867,vernaculaire,,,,,vernaculaire,vernaculaires,,,
34868,vernal,vernal,vernaux,vernale,vernales,,,,,
34869,verni,verni,vernis,vernie,vernies,,,,,
34870,vernicifère,vernicifère,,,,,,,,
34871,vernissé,vernissé,vernissés,vernissée,vernissées,,,,,
34872,verrier,verrier,verriers,verrière,verrières,,,,,
34873,verrouillable,,,,,verrouillable,verrouillables,,,
34874,verrouillé,verrouillé,verrouillés,verrouillée,verrouillées,,,,,
34875,verruciforme,,,,,verruciforme,verruciformes,,,
34876,verruqueux,,,verruqueuse,verruqueuses,,,verruqueux,,
34877,verré,verré,verrés,verrée,verrées,,,,,
34878,vers-libriste,,,,,vers-libriste,vers-libristes,,,
34879,versable,,,,,versable,versables,,,
34880,versaillais,,,versaillaise,versaillaises,,,versaillais,,
34881,versant,versant,versants,versante,versantes,,,,,
34882,versatile,,,,,versatile,versatiles,,,
34883,verseur,verseur,verseurs,verseuse,verseuses,,,,,
34884,versicolore,,,,,versicolore,versicolores,,,
34885,versifiant,versifiant,,,,,,,,
34886,verslibriste,verslibriste,,,,,,,,
34887,versé,versé,versés,versée,versées,,,,,
34888,vert,vert,verts,verte,vertes,,,,,
34889,vert-de-gris,vert-de-gris,,,,,,,,
34890,vert-de-grisé,vert-de-grisé,vert-de-grisés,vert-de-grisée,vert-de-grisées,,,,,
34891,vert-galant,vert-galant,,,,,,,,
34892,vertdegrisé,vertdegrisé,vertdegrisés,vertdegrisée,vertdegrisées,,,,,
34893,vertical,vertical,verticaux,verticale,verticales,,,,,
34894,verticillaire,verticillaire,,,,,,,,
34895,verticillé,verticillé,verticillés,verticillée,verticillées,,,,,
34896,vertigineux,,,vertigineuse,vertigineuses,,,vertigineux,,
34897,vertueux,,,vertueuse,vertueuses,,,vertueux,,
34898,vertébral,vertébral,vertébraux,vertébrale,vertébrales,,,,,
34899,vertébro-basilaire,,,,,vertébro-basilaire,,,,
34900,vertébro-vertébral,vertébro-vertébral,vertébro-vertébraux,,,,,,,
34901,vertébrobasilaire,,,,,vertébrobasilaire,vertébrobasilaires,,,
34902,vertébré,vertébré,vertébrés,vertébrée,vertébrées,,,,,
34903,verveusement,verveusement,,,,,,,,
34904,verveux,,,verveuse,verveuses,,,verveux,,
34905,verviétois,,,verviétoise,verviétoises,,,verviétois,,
34906,vespertin,vespertin,vespertins,vespertine,vespertines,,,,,
34907,vespiforme,,,,,vespiforme,vespiformes,,,
34908,vespéral,vespéral,vespéraux,vespérale,vespérales,,,,,
34909,vessard,vessard,,,,,,,,
34910,vestibulaire,,,,,vestibulaire,vestibulaires,,,
34911,vestibulo-cochléaire,,,,,,vestibulo-cochléaires,,,
34912,vestigial,vestigial,vestigiaux,vestigiale,vestigiales,,,,,
34913,vestimentaire,,,,,vestimentaire,vestimentaires,,,
34914,vestimentifère,,,,,vestimentifère,vestimentifères,,,
34915,veuf,veuf,veufs,veuve,veuves,,,,,
34916,veule,,,,,veule,veules,,,
34917,veuvier,veuvier,,,,,,,,
34918,veveysan,veveysan,veveysans,veveysanne,veveysannes,,,,,
34919,vexant,vexant,vexants,vexante,vexantes,,,,,
34920,vexateur,vexateur,vexateurs,vexatrice,vexatrices,,,,,
34921,vexatoire,,,,,vexatoire,vexatoires,,,
34922,vexillaire,,,,,vexillaire,vexillaires,,,
34923,vexé,vexé,vexés,vexée,vexées,,,,,
34924,viabilisé,viabilisé,viabilisés,viabilisée,viabilisées,,,,,
34925,viable,,,,,viable,viables,,,
34926,viager,viager,viagers,viagère,viagères,,,,,
34927,viandeux,viandeux,,,,,,,,
34928,viandu,viandu,,,,,,,,
34929,viandé,viandé,,,,,,,,
34930,vibrant,vibrant,vibrants,vibrante,vibrantes,,,,,
34931,vibratile,,,,,vibratile,vibratiles,,,
34932,vibrationnel,vibrationnel,vibrationnels,vibrationnelle,vibrationnelles,,,,,
34933,vibratoire,,,,,vibratoire,vibratoires,,,
34934,vibrionesque,vibrionesque,,,,,,,,
34935,vibrionien,vibrionien,vibrioniens,vibrionienne,vibrioniennes,,,,,
34936,vibrionique,vibrionique,,,,,,,,
34937,vibrionnant,vibrionnant,vibrionnants,vibrionnante,vibrionnantes,,,,,
34938,vicarial,vicarial,vicariaux,vicariale,vicariales,,,,,
34939,vicariant,vicariant,vicariants,vicariante,vicariantes,,,,,
34940,vice-premier,vice-premier,vice-premiers,vice-première,vice-premières,,,,,
34941,vice-présidentiable,vice-présidentiable,,,,,,,,
34942,vice-royal,vice-royal,,,,,,,,
34943,vicelard,vicelard,vicelards,vicelarde,vicelardes,,,,,
34944,vicennal,vicennal,vicennaux,vicennale,vicennales,,,,,
34945,vichynois,vichynois,,,,,,,,
34946,vichyssois,,,vichyssoise,vichyssoises,,,vichyssois,,
34947,vichyste,,,,,vichyste,vichystes,,,
34948,viciable,,,,,viciable,viciables,,,
34949,viciateur,viciateur,viciateurs,viciatrice,viciatrices,,,,,
34950,vicieux,,,vicieuse,vicieuses,,,vicieux,,
34951,vicinal,vicinal,vicinaux,vicinale,vicinales,,,,,
34952,vicié,vicié,viciés,viciée,viciées,,,,,
34953,vicomtal,vicomtal,vicomtaux,vicomtale,vicomtales,,,,,
34954,vicomtier,vicomtier,vicomtiers,vicomtière,vicomtières,,,,,
34955,victimaire,,,,,victimaire,victimaires,,,
34956,victimal,victimal,victimaux,victimale,victimales,,,,,
34957,victime,,,,,victime,victimes,,,
34958,victimé,victimé,victimés,victimée,victimées,,,,,
34959,victorien,victorien,victoriens,victorienne,victoriennes,,,,,
34960,victorieux,,,victorieuse,victorieuses,,,victorieux,,
34961,vicésimal,vicésimal,vicésimaux,vicésimale,vicésimales,,,,,
34962,vidamé,vidamé,vidamés,vidamée,vidamées,,,,,
34963,vidangeable,,,,,vidangeable,vidangeables,,,
34964,vidangé,vidangé,vidangés,vidangée,vidangées,,,,,
34965,vide,,,,,vide,vides,,,
34966,vidien,vidien,vidiens,vidienne,vidiennes,,,,,
34967,vidé,vidé,vidés,vidée,vidées,,,,,
34968,vidéo,,,,,vidéo,vidéos,,,
34969,vidéographique,,,,,vidéographique,vidéographiques,,,
34970,vidéophile,vidéophile,,,,,,,,
34971,VIe,,,,,VIe,,,,
34972,vieil,vieil,vieux,vieille,vieilles,,,,,
34973,vieilli,vieilli,vieillis,vieillie,vieillies,,,,,
34974,vieillissant,vieillissant,vieillissants,vieillissante,vieillissantes,,,,,
34975,vieillissime,vieillissime,,,,,,,,
34976,vieillot,vieillot,vieillots,vieillotte,vieillottes,,,,,
34977,vieillotant,vieillotant,,,,,,,,
34978,vieillottant,vieillottant,,,,,,,,
34979,viennois,,,viennoise,viennoises,,,viennois,,
34980,vierge,,,,,vierge,vierges,,,
34981,viet,,,,,viet,viets,,,
34982,vietnamien,vietnamien,vietnamiens,vietnamienne,vietnamiennes,,,,,
34983,vieux,vieil,,vieille,vieilles,,,vieux,,
34984,vif,vif,vifs,vive,vives,,,,,
34985,vif-argent,,,,,vif-argent,,,,
34986,vigil,vigil,vigils,,,vigile,vigiles,,,
34987,vigilant,vigilant,vigilants,vigilante,vigilantes,,,,,
34988,vigneron,vigneron,vignerons,vigneronne,vigneronnes,,,,,
34989,vignetté,vignetté,vignettés,vignettée,vignettées,,,,,
34990,vigneté,vigneté,vignetés,vignetée,vignetées,,,,,
34991,vigorisant,vigorisant,vigorisants,vigorisante,vigorisantes,,,,,
34992,vigoureux,,,vigoureuse,vigoureuses,,,vigoureux,,
34993,vigésimal,vigésimal,vigésimaux,vigésimale,vigésimales,,,,,
34994,vihueliste,,,,,vihueliste,vihuelistes,,,
34995,VIIe,,,,,VIIe,,,,
34996,VIIIe,,,,,VIIIe,,,,
34997,viking,,,,,viking,vikings,,,
34998,vil,vil,vils,vile,viles,,,,,
34999,vilain,vilain,vilains,vilaine,vilaines,,,,,
35000,vilené,vilené,vilenés,,,,,,,
35001,vilipendeur,vilipendeur,,,,,,,,
35002,vilipendé,vilipendé,vilipendés,vilipendée,vilipendées,,,,,
35003,villafranchien,villafranchien,villafranchiens,villafranchienne,villafranchiennes,,,,,
35004,villageois,,,villageoise,villageoises,,,villageois,,
35005,villanovien,villanovien,villanoviens,villanovienne,villanoviennes,,,,,
