"Word","lemme","cgram","freqlemlivres"
"allemandes","allemand","NOM","91.55"
"allemands","allemand","NOM","91.55"
"art","art","NOM","91.49"
"arts","art","NOM","91.49"
"chemise","chemise","NOM","91.42"
"chemises","chemise","NOM","91.42"
"détail","détail","NOM","91.15"
"détails","détail","NOM","91.15"
"glace","glace","NOM","91.01"
"glaces","glace","NOM","91.01"
"pont","pont","NOM","90.81"
"ponts","pont","NOM","90.81"
"poste","poste","NOM","90.68"
"postes","poste","NOM","90.68"
"vêtement","vêtement","NOM","90.14"
"vêtements","vêtement","NOM","90.14"
"tableau","tableau","NOM","90"
"tableaux","tableau","NOM","90"
"cousin","cousin","NOM","89.93"
"cousine","cousin","NOM","89.93"
"cousines","cousin","NOM","89.93"
"cousins","cousin","NOM","89.93"
"paquet","paquet","NOM","89.19"
"paquets","paquet","NOM","89.19"
"poids","poids","NOM","89.05"
"veille","veille","NOM","89.05"
"veilles","veille","NOM","89.05"
"plan","plan","NOM","88.99"
"plans","plan","NOM","88.99"
"espace","espace","NOM","88.51"
"espaces","espace","NOM","88.51"
"chapeau","chapeau","NOM","88.04"
"chapeaux","chapeau","NOM","88.04"
"truc","truc","NOM","87.77"
"trucs","truc","NOM","87.77"
"passion","passion","NOM","87.64"
"passions","passion","NOM","87.64"
"action","action","NOM","87.43"
"actions","action","NOM","87.43"
"docteur","docteur","NOM","87.36"
"docteurs","docteur","NOM","87.36"
"doctoresse","docteur","NOM","87.36"
"parti","parti","NOM","87.36"
"partis","parti","NOM","87.36"
"trottoir","trottoir","NOM","87.36"
"trottoirs","trottoir","NOM","87.36"
"personnage","personnage","NOM","86.96"
"personnages","personnage","NOM","86.96"
"plage","plage","NOM","86.89"
"plages","plage","NOM","86.89"
"gorge","gorge","NOM","86.82"
"gorges","gorge","NOM","86.82"
"dernier","dernier","NOM","86.08"
"derniers","dernier","NOM","86.08"
"dernière","dernier","NOM","86.08"
"dernières","dernier","NOM","86.08"
"branche","branche","NOM","85.61"
"branches","branche","NOM","85.61"
"jeunesse","jeunesse","NOM","85.14"
"jeunesses","jeunesse","NOM","85.14"
"patte","patte","NOM","85.14"
"pattes","patte","NOM","85.14"
"machine","machine","NOM","85"
"machines","machine","NOM","85"
"aventure","aventure","NOM","84.86"
"aventures","aventure","NOM","84.86"
"événement","événement","NOM","84.59"
"événements","événement","NOM","84.59"
"gare","gare","NOM","84.53"
"gares","gare","NOM","84.53"
"métier","métier","NOM","84.53"
"métiers","métier","NOM","84.53"
"rideau","rideau","NOM","84.53"
"rideaux","rideau","NOM","84.53"
"ridelle","rideau","NOM","84.53"
"ridelles","rideau","NOM","84.53"
"centre","centre","NOM","84.46"
"centres","centre","NOM","84.46"
"conseil","conseil","NOM","84.46"
"conseils","conseil","NOM","84.46"
"sein","sein","NOM","84.05"
"seins","sein","NOM","84.05"
"pointe","pointe","NOM","83.85"
