"Word","lemme","cgram","freqlemlivres"
"naturelle","naturel","ADJ","75.68"
"naturelles","naturel","ADJ","75.68"
"naturels","naturel","ADJ","75.68"
"sept","sept","ADJ:num","75.61"
"étranger","étranger","ADJ","75"
"étrangers","étranger","ADJ","75"
"étrangère","étranger","ADJ","75"
"étrangères","étranger","ADJ","75"
"bref","bref","ADJ","74.8"
"brefs","bref","ADJ","74.8"
"brève","bref","ADJ","74.8"
"brèves","bref","ADJ","74.8"
"américain","américain","ADJ","74.73"
"américaine","américain","ADJ","74.73"
"américaines","américain","ADJ","74.73"
"américains","américain","ADJ","74.73"
"silencieuse","silencieux","ADJ","74.05"
"silencieuses","silencieux","ADJ","74.05"
"silencieux","silencieux","ADJ","74.05"
"malade","malade","ADJ","73.92"
"malades","malade","ADJ","73.92"
"calme","calme","ADJ","73.65"
"calmes","calme","ADJ","73.65"
"rapide","rapide","ADJ","71.82"
"rapides","rapide","ADJ","71.82"
"vaste","vaste","ADJ","71.76"
"vastes","vaste","ADJ","71.76"
"politique","politique","ADJ","70.81"
"politiques","politique","ADJ","70.81"
"inutile","inutile","ADJ","70.34"
"inutiles","inutile","ADJ","70.34"
"unique","unique","ADJ","70.14"
"uniques","unique","ADJ","70.14"
"britannique","britannique","ADJ","68.72"
"britanniques","britannique","ADJ","68.72"
"brun","brun","ADJ","68.18"
"brune","brun","ADJ","68.18"
"brunes","brun","ADJ","68.18"
"bruns","brun","ADJ","68.18"
"nécessaire","nécessaire","ADJ","68.11"
"nécessaires","nécessaire","ADJ","68.11"
"obscur","obscur","ADJ","67.57"
"obscure","obscur","ADJ","67.57"
"obscures","obscur","ADJ","67.57"
"obscurs","obscur","ADJ","67.57"
"curieuse","curieux","ADJ","66.22"
"curieuses","curieux","ADJ","66.22"
"curieux","curieux","ADJ","66.22"
"un","un","ADJ:num","66.15"
"sérieuse","sérieux","ADJ","66.01"
"sérieuses","sérieux","ADJ","66.01"
"sérieux","sérieux","ADJ","66.01"
"vague","vague","ADJ","65.95"
"vagues","vague","ADJ","65.95"
"riche","riche","ADJ","65.47"
"riches","riche","ADJ","65.47"
"public","public","ADJ","65.27"
"publics","public","ADJ","65.27"
"publique","public","ADJ","65.27"
"publiques","public","ADJ","65.27"
"soudain","soudain","ADJ","65.27"
"soudaine","soudain","ADJ","65.27"
"soudaines","soudain","ADJ","65.27"
"soudains","soudain","ADJ","65.27"
"gentil","gentil","ADJ","64.86"
"gentille","gentil","ADJ","64.86"
"gentilles","gentil","ADJ","64.86"
"gentils","gentil","ADJ","64.86"
"lent","lent","ADJ","64.12"
"lente","lent","ADJ","64.12"
"lentes","lent","ADJ","64.12"
"lents","lent","ADJ","64.12"
"normal","normal","ADJ","62.77"
"normale","normal","ADJ","62.77"
"normales","normal","ADJ","62.77"
"normaux","normal","ADJ","62.77"
"maigre","maigre","ADJ","62.7"
"maigres","maigre","ADJ","62.7"
"minuscule","minuscule","ADJ","62.09"
"minuscules","minuscule","ADJ","62.09"
"inconnu","inconnu","ADJ","61.82"
"inconnue","inconnu","ADJ","61.82"
"inconnues","inconnu","ADJ","61.82"
"inconnus","inconnu","ADJ","61.82"
"précis","précis","ADJ","61.82"
"précise","précis","ADJ","61.82"
"précises","précis","ADJ","61.82"
"plat","plat","ADJ","61.76"
"plate","plat","ADJ","61.76"
"plates","plat","ADJ","61.76"
"plats","plat","ADJ","61.76"
"anglais","anglais","ADJ","61.69"
"anglaise","anglais","ADJ","61.69"
"anglaises","anglais","ADJ","61.69"
"entendu","entendu","ADJ","61.62"
"entendue","entendu","ADJ","61.62"
"entendues","entendu","ADJ","61.62"
"entendus","entendu","ADJ","61.62"
"tendre","tendre","ADJ","61.15"
"tendres","tendre","ADJ","61.15"
"cinquante","cinquante","ADJ:num","61.08"
"nombreuse","nombreux","ADJ","60.27"
"nombreuses","nombreux","ADJ","60.27"
"nombreux","nombreux","ADJ","60.27"
"prochain","prochain","ADJ","59.32"
"prochaine","prochain","ADJ","59.32"
"prochaines","prochain","ADJ","59.32"
"prochains","prochain","ADJ","59.32"
"deuxième","deuxième","ADJ","59.05"
"deuxièmes","deuxième","ADJ","59.05"
"double","double","ADJ","58.99"
"doubles","double","ADJ","58.99"
"malheureuse","malheureux","ADJ","58.85"
"malheureuses","malheureux","ADJ","58.85"
"malheureux","malheureux","ADJ","58.85"
"passé","passé","ADJ","58.58"
"passée","passé","ADJ","58.58"
"passées","passé","ADJ","58.58"
"passés","passé","ADJ","58.58"
"amoureuse","amoureux","ADJ","58.45"
"amoureuses","amoureux","ADJ","58.45"
"amoureux","amoureux","ADJ","58.45"
"perdu","perdu","ADJ","58.45"
"perdue","perdu","ADJ","58.45"
"perdues","perdu","ADJ","58.45"
"perdus","perdu","ADJ","58.45"
"fier","fier","ADJ","58.18"
"fiers","fier","ADJ","58.18"
"fière","fier","ADJ","58.18"
"fières","fier","ADJ","58.18"
"pire","pire","ADJ","57.7"
"pires","pire","ADJ","57.7"
"troisième","troisième","ADJ","57.43"
"troisièmes","troisième","ADJ","57.43"
"vain","vain","ADJ","57.03"
"vaine","vain","ADJ","57.03"
"vaines","vain","ADJ","57.03"
"vains","vain","ADJ","57.03"
"fermé","fermé","ADJ","56.35"
"fermée","fermé","ADJ","56.35"
"fermées","fermé","ADJ","56.35"
"fermés","fermé","ADJ","56.35"
"véritable","véritable","ADJ","56.08"
"véritables","véritable","ADJ","56.08"
"sauvage","sauvage","ADJ","54.66"
"sauvages","sauvage","ADJ","54.66"
"particulier","particulier","ADJ","53.99"
"particuliers","particulier","ADJ","53.99"
"particulière","particulier","ADJ","53.99"
"particulières","particulier","ADJ","53.99"
"faible","faible","ADJ","53.65"
"faibles","faible","ADJ","53.65"
"mystérieuse","mystérieux","ADJ","53.65"
"mystérieuses","mystérieux","ADJ","53.65"
"mystérieux","mystérieux","ADJ","53.65"
"brillant","brillant","ADJ","53.31"
"brillante","brillant","ADJ","53.31"
"brillantes","brillant","ADJ","53.31"
"brillants","brillant","ADJ","53.31"
"humide","humide","ADJ","53.31"
"humides","humide","ADJ","53.31"
"fameuse","fameux","ADJ","53.11"
"fameuses","fameux","ADJ","53.11"
"fameux","fameux","ADJ","53.11"
"semblable","semblable","ADJ","52.91"
"semblables","semblable","ADJ","52.91"
"divers","divers","ADJ","52.77"
"divers","divers","ADJ:ind","52.77"
"diverse","divers","ADJ","52.77"
"diverses","divers","ADJ","52.77"
"désert","désert","ADJ","52.57"
"déserte","désert","ADJ","52.57"
"désertes","désert","ADJ","52.57"
"déserts","désert","ADJ","52.57"
"invisible","invisible","ADJ","52.36"
"invisibles","invisible","ADJ","52.36"
"bizarre","bizarre","ADJ","52.23"
"bizarres","bizarre","ADJ","52.23"
"fait","fait","ADJ","51.76"
"faite","fait","ADJ","51.76"
"faites","fait","ADJ","51.76"
"faits","fait","ADJ","51.76"
"certaines","certaines","ADJ:ind","51.55"
"violent","violent","ADJ","51.49"
"violente","violent","ADJ","51.49"
"violentes","violent","ADJ","51.49"
"violents","violent","ADJ","51.49"
"vieil","vieil","ADJ","51.22"
"suivant","suivant","ADJ","51.08"
"suivante","suivant","ADJ","51.08"
"suivantes","suivant","ADJ","51.08"
"suivants","suivant","ADJ","51.08"
"sourd","sourd","ADJ","50.68"
"sourde","sourd","ADJ","50.68"
"sourdes","sourd","ADJ","50.68"
"sourds","sourd","ADJ","50.68"
"intérieur","intérieur","ADJ","50.61"
"intérieure","intérieur","ADJ","50.61"
"intérieures","intérieur","ADJ","50.61"
"intérieurs","intérieur","ADJ","50.61"
