,Word,lemme,cgram,genre,freqlemlivres
520,arrivés,arrivé,ADJ,m,20.0
521,sanglant,sanglant,ADJ,m,20.0
522,sanglants,sanglant,ADJ,m,20.0
523,mûr,mûr,ADJ,m,19.73
524,mûrs,mûr,ADJ,m,19.73
525,surprenant,surprenant,ADJ,m,19.73
526,surprenants,surprenant,ADJ,m,19.73
527,solennel,solennel,ADJ,m,19.66
530,final,final,ADJ,m,19.39
531,finaux,final,ADJ,m,19.39
532,apparent,apparent,ADJ,m,19.32
534,vilain,vilain,ADJ,m,19.32
535,vilains,vilain,ADJ,m,19.32
536,effrayant,effrayant,ADJ,m,19.19
538,impérial,impérial,ADJ,m,19.12
540,ennemi,ennemi,ADJ,m,19.05
541,ennemis,ennemi,ADJ,m,19.05
543,successifs,successif,ADJ,m,18.99
544,suffisant,suffisant,ADJ,m,18.99
545,suffisants,suffisant,ADJ,m,18.99
546,amusant,amusant,ADJ,m,18.85
548,chéri,chéri,ADJ,m,18.78
550,instant,instant,ADJ,m,18.78
551,instants,instant,ADJ,m,18.78
552,oublié,oublié,ADJ,m,18.72
553,oubliés,oublié,ADJ,m,18.72
554,sain,sain,ADJ,m,18.65
555,sains,sain,ADJ,m,18.65
556,fini,fini,ADJ,m,18.58
557,finis,fini,ADJ,m,18.58
558,maladroit,maladroit,ADJ,m,18.58
560,brûlé,brûlé,ADJ,m,18.31
561,brûlés,brûlé,ADJ,m,18.31
564,perpétuel,perpétuel,ADJ,m,18.24
566,éteint,éteint,ADJ,m,17.91
568,clandestin,clandestin,ADJ,m,17.64
569,clandestins,clandestin,ADJ,m,17.64
570,pesant,pesant,ADJ,m,17.64
572,éclairé,éclairé,ADJ,m,17.64
573,éclairés,éclairé,ADJ,m,17.64
574,blessé,blessé,ADJ,m,17.57
575,blessés,blessé,ADJ,m,17.57
577,maudit,maudit,ADJ,m,17.5
580,savant,savant,ADJ,m,17.3
581,savants,savant,ADJ,m,17.3
582,croisé,croisé,ADJ,m,17.23
583,croisés,croisé,ADJ,m,17.23
584,habillé,habillé,ADJ,m,17.23
585,habillés,habillé,ADJ,m,17.23
586,sentimental,sentimental,ADJ,m,17.16
588,usé,usé,ADJ,m,17.09
589,usés,usé,ADJ,m,17.09
590,urgent,urgent,ADJ,m,16.96
591,urgents,urgent,ADJ,m,16.96
592,inférieur,inférieur,ADJ,m,16.89
593,inférieurs,inférieur,ADJ,m,16.89
594,matériel,matériel,ADJ,m,16.89
595,matériels,matériel,ADJ,m,16.89
598,bruyant,bruyant,ADJ,m,16.82
600,constant,constant,ADJ,m,16.82
601,constants,constant,ADJ,m,16.82
602,gêné,gêné,ADJ,m,16.82
604,suspect,suspect,ADJ,m,16.82
605,suspects,suspect,ADJ,m,16.82
606,foutu,foutu,ADJ,m,16.76
608,impatient,impatient,ADJ,m,16.76
609,impatients,impatient,ADJ,m,16.76
610,postal,postal,ADJ,m,16.76
611,postaux,postal,ADJ,m,16.76
612,écarté,écarté,ADJ,m,16.76
613,écartés,écarté,ADJ,m,16.76
614,menaçant,menaçant,ADJ,m,16.69
616,poli,poli,ADJ,m,16.69
617,polis,poli,ADJ,m,16.69
618,rassurant,rassurant,ADJ,m,16.69
622,subit,subit,ADJ,m,16.49
624,aîné,aîné,ADJ,m,16.42
625,aînés,aîné,ADJ,m,16.42
626,brisé,brisé,ADJ,m,16.42
627,brisés,brisé,ADJ,m,16.42
628,désespéré,désespéré,ADJ,m,16.35
630,idéal,idéal,ADJ,m,16.35
632,idéaux,idéal,ADJ,m,16.35
633,mondial,mondial,ADJ,m,16.35
634,mondiaux,mondial,ADJ,m,16.35
635,sur,sur,ADJ,m,16.22
637,flou,flou,ADJ,m,16.15
639,dit,dit,ADJ,m,16.08
640,dits,dit,ADJ,m,16.08
641,maître,maître,ADJ,m,16.08
642,maîtres,maître,ADJ,m,16.08
643,combattant,combattant,ADJ,m,16.01
644,combattants,combattant,ADJ,m,16.01
645,décisif,décisif,ADJ,m,16.01
646,décisifs,décisif,ADJ,m,16.01
648,agressif,agressif,ADJ,m,15.88
649,agressifs,agressif,ADJ,m,15.88
650,cru,cru,ADJ,m,15.88
651,crus,cru,ADJ,m,15.88
652,européen,européen,ADJ,m,15.88
653,européens,européen,ADJ,m,15.88
