Unnamed: 0,Word,lemme,cgram,genre,freqlemlivres,number
12629,gratuites,gratuit,ADJ,f,13.11,plural
12630,romane,roman,ADJ,f,13.11,singular
12632,souterraine,souterrain,ADJ,f,13.04,singular
12633,souterraines,souterrain,ADJ,f,13.04,plural
12675,incessantes,incessant,ADJ,f,12.23,plural
12694,monumentale,monumental,ADJ,f,12.03,singular
12700,médicale,médical,ADJ,f,11.89,singular
12701,médicales,médical,ADJ,f,11.89,plural
12738,mentale,mental,ADJ,f,11.35,singular
12739,mentales,mental,ADJ,f,11.35,plural
12743,indiennes,indien,ADJ,f,11.22,plural
12782,matinale,matinal,ADJ,f,10.74,singular
12796,sereine,serein,ADJ,f,10.61,singular
12802,musicale,musical,ADJ,f,10.54,singular
12803,musicales,musical,ADJ,f,10.54,plural
12823,paysannes,paysan,ADJ,f,10.41,plural
12844,fraternelle,fraternel,ADJ,f,10.27,singular
12851,géniale,génial,ADJ,f,10.2,singular
12856,primitives,primitif,ADJ,f,10.2,plural
12861,masculine,masculin,ADJ,f,10.14,singular
12862,masculines,masculin,ADJ,f,10.14,plural
12881,tardive,tardif,ADJ,f,10.0,singular
12882,tardives,tardif,ADJ,f,10.0,plural
12893,impressionnante,impressionnant,ADJ,f,9.86,singular
12894,impressionnantes,impressionnant,ADJ,f,9.86,plural
12895,maintes,maintes,ADJ:ind,f,9.86,plural
12903,vitale,vital,ADJ,f,9.8,singular
12904,vitales,vital,ADJ,f,9.8,plural
12909,culturelle,culturel,ADJ,f,9.73,singular
12910,culturelles,culturel,ADJ,f,9.73,plural
12918,touchante,touchant,ADJ,f,9.73,singular
12923,conjugale,conjugal,ADJ,f,9.59,singular
12924,conjugales,conjugal,ADJ,f,9.59,plural
12941,distincte,distinct,ADJ,f,9.46,singular
12942,distinctes,distinct,ADJ,f,9.46,plural
12962,imposante,imposant,ADJ,f,9.39,singular
12982,fondamentale,fondamental,ADJ,f,9.19,singular
12983,fondamentales,fondamental,ADJ,f,9.19,plural
12986,reconnaissante,reconnaissant,ADJ,f,9.19,singular
13010,colossale,colossal,ADJ,f,9.05,singular
13012,formelle,formel,ADJ,f,9.05,singular
13013,formelles,formel,ADJ,f,9.05,plural
13036,troublante,troublant,ADJ,f,8.99,singular
13053,végétale,végétal,ADJ,f,8.85,singular
13054,végétales,végétal,ADJ,f,8.85,plural
13055,minérale,minéral,ADJ,f,8.78,singular
13056,minérales,minéral,ADJ,f,8.78,plural
13104,montante,montant,ADJ,f,8.38,singular
13136,correcte,correct,ADJ,f,8.18,singular
13137,correctes,correct,ADJ,f,8.18,plural
13138,satisfaisante,satisfaisant,ADJ,f,8.18,singular
13139,satisfaisantes,satisfaisant,ADJ,f,8.18,plural
13140,séduisante,séduisant,ADJ,f,8.18,singular
13146,censée,censé,ADJ,f,8.11,singular
13147,censées,censé,ADJ,f,8.11,plural
13150,inégale,inégal,ADJ,f,8.11,singular
13167,spontanée,spontané,ADJ,f,7.97,singular
13169,théâtrale,théâtral,ADJ,f,7.97,singular
13170,théâtrales,théâtral,ADJ,f,7.97,plural
13181,exigeante,exigeant,ADJ,f,7.84,singular
13185,fulgurante,fulgurant,ADJ,f,7.84,singular
13189,aisée,aisé,ADJ,f,7.77,singular
13190,aisées,aisé,ADJ,f,7.77,plural
13201,pressante,pressant,ADJ,f,7.7,singular
13203,respective,respectif,ADJ,f,7.7,singular
13204,respectives,respectif,ADJ,f,7.7,plural
13209,imminente,imminent,ADJ,f,7.64,singular
13231,inaperçue,inaperçu,ADJ,f,7.57,singular
13235,bienveillante,bienveillant,ADJ,f,7.5,singular
13237,distante,distant,ADJ,f,7.5,singular
13250,algériennes,algérien,ADJ,f,7.43,plural
13251,croissante,croissant,ADJ,f,7.43,singular
13252,croissantes,croissant,ADJ,f,7.43,plural
13275,flagrante,flagrant,ADJ,f,7.36,singular
13279,loyale,loyal,ADJ,f,7.36,singular
13309,inhabituelle,inhabituel,ADJ,f,7.16,singular
