"Word","lemme","cgram","genre","nombre","freqlemlivres"
"paroles","parole","NOM","f","p","178.31"
"nez","nez","NOM","m","","177.64"
"café","café","NOM","m","s","177.3"
"cafés","café","NOM","m","p","177.3"
"cours","cours","NOM","","p","176.76"
"forme","forme","NOM","f","s","176.69"
"formes","forme","NOM","f","p","176.69"
"sac","sac","NOM","m","s","174.26"
"sacs","sac","NOM","m","p","174.26"
"premier","premier","NOM","m","s","173.92"
"premiers","premier","NOM","m","p","173.92"
"première","premier","NOM","f","s","173.92"
"premières","premier","NOM","f","p","173.92"
"jeu","jeu","NOM","m","s","173.31"
"jeux","jeu","NOM","m","p","173.31"
"long","long","NOM","m","s","171.35"
"longs","long","NOM","m","p","171.35"
"petit","petit","NOM","m","s","169.66"
"petite","petit","NOM","f","s","169.66"
"petites","petit","NOM","f","p","169.66"
"petits","petit","NOM","m","p","169.66"
"reste","reste","NOM","m","s","168.58"
"restes","reste","NOM","m","p","168.58"
"français","français","NOM","m","s","164.59"
"française","français","NOM","f","s","164.59"
"françaises","français","NOM","f","p","164.59"
"fleur","fleur","NOM","f","s","164.39"
"fleurs","fleur","NOM","f","p","164.39"
"droit","droit","NOM","m","s","163.72"
"droits","droit","NOM","m","p","163.72"
"bonheur","bonheur","NOM","m","s","162.36"
"bonheurs","bonheur","NOM","m","p","162.36"
"ligne","ligne","NOM","f","s","162.3"
"lignes","ligne","NOM","f","p","162.3"
"signe","signe","NOM","m","s","161.28"
"signes","signe","NOM","m","p","161.28"
"soeur","soeur","NOM","f","s","161.01"
"soeurs","soeur","NOM","f","p","161.01"
"front","front","NOM","m","s","159.12"
"fronts","front","NOM","m","p","159.12"
"hôtel","hôtel","NOM","m","s","158.92"
"hôtels","hôtel","NOM","m","p","158.92"
"retour","retour","NOM","m","s","158.65"
"retours","retour","NOM","m","p","158.65"
"genre","genre","NOM","m","s","157.91"
"genres","genre","NOM","m","p","157.91"
"manière","manière","NOM","f","s","157.77"
"manières","manière","NOM","f","p","157.77"
"sentiment","sentiment","NOM","m","s","157.3"
"sentiments","sentiment","NOM","m","p","157.3"
"rire","rire","NOM","m","s","155.47"
"rires","rire","NOM","m","p","155.47"
"cri","cri","NOM","m","s","155.41"
"cris","cri","NOM","m","p","155.41"
"impression","impression","NOM","f","s","155.27"
"impressions","impression","NOM","f","p","155.27"
"habitude","habitude","NOM","f","s","154.46"
"habitudes","habitude","NOM","f","p","154.46"
"passage","passage","NOM","m","s","154.39"
"passages","passage","NOM","m","p","154.39"
"marche","marche","NOM","f","s","152.97"
"marches","marche","NOM","f","p","152.97"
"âme","âme","NOM","f","s","151.62"
"âmes","âme","NOM","f","p","151.62"
"pensée","pensée","NOM","f","s","151.55"
"pensées","pensée","NOM","f","p","151.55"
"maître","maître","NOM","m","s","151.49"
"maîtres","maître","NOM","m","p","151.49"
"dame","dame","NOM","f","s","151.35"
"dames","dame","NOM","f","p","151.35"
"sol","sol","NOM","m","s","150.34"
"sols","sol","NOM","m","p","150.34"
"joie","joie","NOM","f","s","150.2"
"joies","joie","NOM","f","p","150.2"
"cour","cour","NOM","f","s","150.14"
"bureau","bureau","NOM","m","s","150.07"
"bureaux","bureau","NOM","m","p","150.07"
"lendemain","lendemain","NOM","m","s","149.26"
"lendemains","lendemain","NOM","m","p","149.26"
"escalier","escalier","NOM","m","s","148.85"
"escaliers","escalier","NOM","m","p","148.85"
"robe","robe","NOM","f","s","148.18"
"robes","robe","NOM","f","p","148.18"
"armée","armée","NOM","f","s","146.55"
"armées","armée","NOM","f","p","146.55"
"parent","parent","NOM","m","s","146.35"
"parente","parent","NOM","f","s","146.35"
"parentes","parent","NOM","f","p","146.35"
"parents","parent","NOM","m","p","146.35"
"ton","ton","NOM","m","s","146.35"
"tons","ton","NOM","m","p","146.35"
"poche","poche","NOM","","s","146.28"
"poches","poche","NOM","","p","146.28"
"église","église","NOM","f","s","145.07"
"églises","église","NOM","f","p","145.07"
"maman","maman","NOM","f","s","144.39"
"mamans","maman","NOM","f","p","144.39"
"vue","vue","NOM","f","s","144.39"
"vues","vue","NOM","f","p","144.39"
"village","village","NOM","m","s","143.99"
"villages","village","NOM","m","p","143.99"
"école","école","NOM","f","s","143.99"
"écoles","école","NOM","f","p","143.99"
"service","service","NOM","m","s","142.77"
"services","service","NOM","m","p","142.77"
"ventre","ventre","NOM","m","s","141.96"
"ventres","ventre","NOM","m","p","141.96"
"goût","goût","NOM","m","s","141.82"
"goûts","goût","NOM","m","p","141.82"
"espèce","espèce","NOM","f","s","141.69"
"espèces","espèce","NOM","f","p","141.69"
"début","début","NOM","m","s","141.49"
"débuts","début","NOM","m","p","141.49"
"présent","présent","NOM","m","s","141.01"
"présents","présent","NOM","m","p","141.01"
"vérité","vérité","NOM","f","s","140.88"
"vérités","vérité","NOM","f","p","140.88"
"phrase","phrase","NOM","f","s","140.47"
"phrases","phrase","NOM","f","p","140.47"
"voyage","voyage","NOM","m","s","140.07"
"voyages","voyage","NOM","m","p","140.07"
"époque","époque","NOM","f","s","138.51"
"époques","époque","NOM","f","p","138.51"
"feuille","feuille","NOM","f","s","138.04"
"feuilles","feuille","NOM","f","p","138.04"
"endroit","endroit","NOM","m","s","137.57"
"endroits","endroit","NOM","m","p","137.57"
"effort","effort","NOM","m","s","136.62"
"efforts","effort","NOM","m","p","136.62"
"chance","chance","NOM","","s","136.35"
"chances","chance","NOM","f","p","136.35"
"accord","accord","NOM","m","s","136.15"
"accords","accord","NOM","m","p","136.15"
"intérieur","intérieur","NOM","m","s","135.88"
"intérieurs","intérieur","NOM","m","p","135.88"
"présence","présence","NOM","f","s","135.54"
"présences","présence","NOM","f","p","135.54"
"cuisine","cuisine","NOM","f","s","135.41"
"cuisines","cuisine","NOM","f","p","135.41"
"gauche","gauche","NOM","","s","134.59"
"gauches","gauche","NOM","","p","134.59"
"boîte","boîte","NOM","f","s","134.05"
"boîtes","boîte","NOM","f","p","134.05"
"larme","larme","NOM","f","s","133.51"
"larmes","larme","NOM","f","p","133.51"
"siècle","siècle","NOM","m","s","132.91"
"siècles","siècle","NOM","m","p","132.91"
"mesure","mesure","NOM","f","s","132.84"
"mesures","mesure","NOM","f","p","132.84"
"patron","patron","NOM","m","s","132.43"
"patronne","patron","NOM","f","s","132.43"
"patronnes","patron","NOM","f","p","132.43"
"patrons","patron","NOM","m","p","132.43"
"gouvernement","gouvernement","NOM","m","s","132.03"
"gouvernements","gouvernement","NOM","m","p","132.03"
"rapport","rapport","NOM","m","s","130.95"
"rapports","rapport","NOM","m","p","130.95"
"chat","chat","NOM","m","s","130.74"
"chats","chat","NOM","m","p","130.74"
"chatte","chat","NOM","f","s","130.74"
"chattes","chat","NOM","f","p","130.74"
"mètre","mètre","NOM","m","s","130.07"
"mètres","mètre","NOM","m","p","130.07"
"or","or","NOM","m","s","130"
"ors","or","NOM","m","p","130"
"soldat","soldat","NOM","m","s","128.92"
"soldate","soldat","NOM","f","s","128.92"
"soldats","soldat","NOM","m","p","128.92"
"rêve","rêve","NOM","m","s","128.58"
"rêves","rêve","NOM","m","p","128.58"
"genou","genou","NOM","m","s","127.91"
"genoux","genou","NOM","m","p","127.91"
"oncle","oncle","NOM","m","s","127.7"
"oncles","oncle","NOM","m","p","127.7"
"grand","grand","NOM","m","s","127.64"
"grande","grand","NOM","f","s","127.64"
"grandes","grand","NOM","f","p","127.64"
