Word,lemme,cgram,freq
jeté,jeter,VER,33.21
parlais,parler,VER,32.98
demandes,demander,VER,32.92
joindre,joindre,VER,32.91
arrivés,arriver,VER,32.78
devenue,devenir,VER,32.7
saviez,savoir,VER,32.68
coupe,couper,VER,32.66
pourraient,pouvoir,VER,32.66
foutez,foutre,VER,32.65
suit,suivre,VER,32.57
sentez,sentir,VER,32.56
pensait,penser,VER,32.53
débarrasser,débarrasser,VER,32.37
cherché,chercher,VER,32.27
apprécie,apprécier,VER,32.23
passée,passer,VER,32.14
caché,cacher,VER,32.13
deviens,devenir,VER,32.11
parlent,parler,VER,32.08
rêvé,rêver,VER,32.08
recommence,recommencer,VER,31.98
mène,mener,VER,31.86
taire,taire,VER,31.81
répondez,répondre,VER,31.77
verrai,voir,VER,31.76
sonne,sonner,VER,31.69
utilise,utiliser,VER,31.68
envoyez,envoyer,VER,31.66
rentrez,rentrer,VER,31.6
souffre,souffrir,VER,31.52
crier,crier,VER,31.49
empêche,empêcher,VER,31.46
fatigué,fatiguer,VER,31.43
déranger,déranger,VER,31.38
souvenir,souvenir,VER,31.36
décide,décider,VER,31.25
serons,être,VER,31.22
hais,haïr,VER,31.21
voyais,voir,VER,31.14
fuir,fuir,VER,30.95
avance,avancer,VER,30.92
faisant,faire,VER,30.88
fermez,fermer,VER,30.74
donnerai,donner,VER,30.7
utilisé,utiliser,VER,30.65
réveillé,réveiller,VER,30.63
manquer,manquer,VER,30.61
mariée,marier,VER,30.55
vivent,vivre,VER,30.5
tombée,tomber,VER,30.49
coupé,couper,VER,30.34
nettoyer,nettoyer,VER,30.28
grandi,grandir,VER,30.06
supporter,supporter,VER,30.04
trompé,tromper,VER,29.98
finit,finir,VER,29.97
paye,payer,VER,29.91
préviens,prévenir,VER,29.86
sortie,sortir,VER,29.86
conduis,conduire,VER,29.82
montré,montrer,VER,29.65
pousse,pousser,VER,29.6
reviendrai,revenir,VER,29.57
plu,pleuvoir,VER,29.54
couche,coucher,VER,29.5
fume,fumer,VER,29.46
croient,croire,VER,29.38
trouvera,trouver,VER,29.3
signer,signer,VER,29.25
gêne,gêner,VER,29.21
respire,respirer,VER,29.2
supporte,supporter,VER,29.14
invite,inviter,VER,29.01
voulaient,vouloir,VER,28.88
arrives,arriver,VER,28.82
passait,passer,VER,28.5
plaisante,plaisanter,VER,28.5
accepté,accepter,VER,28.46
charge,charger,VER,28.43
convaincre,convaincre,VER,28.43
abandonner,abandonner,VER,28.37
laisserai,laisser,VER,28.33
invité,inviter,VER,28.27
créer,créer,VER,28.15
posé,poser,VER,28.09
permis,permettre,VER,28.04
inquiéter,inquiéter,VER,27.98
commis,commettre,VER,27.91
ressens,ressentir,VER,27.91
prennent,prendre,VER,27.9
approchez,approcher,VER,27.75
devrions,devoir,VER,27.74
trompe,tromper,VER,27.72
prendrai,prendre,VER,27.68
ferez,faire,VER,27.63
dégagez,dégager,VER,27.61
respirer,respirer,VER,27.58
passent,passer,VER,27.56
pousser,pousser,VER,27.51
appelée,appeler,VER,27.5
apprends,apprendre,VER,27.5
protège,protéger,VER,27.45
répond,répondre,VER,27.42
tromper,tromper,VER,27.42
retirer,retirer,VER,27.39
bat,battre,VER,27.36
tuez,tuer,VER,27.32
réfléchi,réfléchir,VER,27.23
disparaître,disparaître,VER,27.16
devine,deviner,VER,27.12
apprend,apprendre,VER,27.11
tenu,tenir,VER,27.1
finie,finir,VER,26.99
construire,construire,VER,26.94
surveiller,surveiller,VER,26.94
recommencer,recommencer,VER,26.9
étudier,étudier,VER,26.86
semblait,sembler,VER,26.84
bosser,bosser,VER,26.82
touchez,toucher,VER,26.76
préparez,préparer,VER,26.72
écoutes,écouter,VER,26.59
montrez,montrer,VER,26.48
disant,dire,VER,26.41
cherchais,chercher,VER,26.4
allés,aller,VER,26.37
permettre,permettre,VER,26.32
refaire,refaire,VER,26.29
surveille,surveiller,VER,26.27
trouverai,trouver,VER,26.27
libérer,libérer,VER,26.16
voient,voir,VER,26.16
descend,descendre,VER,26.09
refusé,refuser,VER,26.03
voudras,vouloir,VER,26.03
reconnu,reconnaître,VER,25.93
attaquer,attaquer,VER,25.91
descendez,descendre,VER,25.89
filer,filer,VER,25.86
moque,moquer,VER,25.79
portait,porter,VER,25.75
virer,virer,VER,25.74
restera,rester,VER,25.73
boit,boire,VER,25.63
viré,virer,VER,25.59
remonte,remonter,VER,25.55
prier,prier,VER,25.46
espérais,espérer,VER,25.4
voyait,voir,VER,25.32
